Cost,Where can they be obtained?,Role in Project,Part,Value,Device,Package,Description,BUILT_BY,CATEGORY,COPYRIGHT,DESCRIPTION,MANUFACTURER,MANUFACTURER_PART_NUMBER,MPN,OPERATING_TEMP,OPERATING_TEMPERATURE,PART_STATUS,POPULARITY,PROD_ID,RATING,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SF_SKU,SUB-CATEGORY,SUBCATEGORY,THERMALLOSS,THERMAL_LOSS,TOLERANCE,TYPE,VALUE,VENDOR
0,Already have one lying around,Expanding inputs to the arduino,IC1,4021N,4021N,DIL16,8-bit static SHIFT REGISTER,,,,,,,,,,,1,,,,,,,,,,,,,,
$12.00,Amazon ($11-12 for 5 pcs),Providing haptic feedback,M1,MOTOR10MM,MOTOR10MM,VIBE-MOTOR-10MM,Motor (Single-Phase),,,,,,,,,,,,COMP-08572,,,,,ROB-08449,,,,,,,,
0,Already have these,Pull-down resistor for button,R1,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R2,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R3,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R4,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R5,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R6,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R7,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R8,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R9,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R10,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R11,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R12,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have potentiometers as well,Potentiomemter for trigger,R13,1623760-2,1623760-2,POT_1623757-2,,EMA_UL_Team,Potentiometers,Copyright (C) 2016 Accelerated Designs. All rights reserved,23E 10KA 6.35X50FL B7 CAT,,23ESA103MMF50NF,,,,active,,,,,,Unknown,,,,,,,,,TE Connectivity
0,Already have potentiometers as well,Potentiomemter for trigger,R14,1623760-2,1623760-2,POT_1623757-2,,EMA_UL_Team,Potentiometers,Copyright (C) 2016 Accelerated Designs. All rights reserved,23E 10KA 6.35X50FL B7 CAT,,23ESA103MMF50NF,,,,active,,,,,,Unknown,,,,,,,,,TE Connectivity
0,Already have these,Pull-down resistor for button,R15,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
0,Already have these,Pull-down resistor for button,R16,4.7k,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,Resistor Fixed - Generic,,Resistor,,,,,,,,,,,,,,,,Fixed,,,,,,,
$0.40,Amazon ($8 for 20pcs),Face button,S1,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Face button,S2,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Face button,S3,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Face button,S4,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Direction on the hat,S5,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Direction on the hat,S6,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Direction on the hat,S7,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Direction on the hat,S8,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
0,Already have these,Thumbstick to place on top,S9,JOYSTICK_THUMB,JOYSTICK_THUMB,JOYSTICK,Analog Thumb Joystick,,,,,,,,,,,,COMP-09744,,,,,COM-09032,,,,,,,,
0,Already have these,Thumbstick to modify for full-size stick,S10,JOYSTICK_THUMB,JOYSTICK_THUMB,JOYSTICK,Analog Thumb Joystick,,,,,,,,,,,,COMP-09744,,,,,COM-09032,,,,,,,,
$0.40,Amazon ($8 for 20pcs),Bumper,S11,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Bumper,S12,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Start,S13,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$0.40,Amazon ($8 for 20pcs),Select,S14,B3U-3000P(M)-B,B3U-X000B3U3000P(M)-B3000P(M)-B,B3U-3000P(M)-B,Ultra-small Tactile Switch,,SWITCH,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,OMRON,,,,-25°C to +70°C,ACTIVE,,,,RoHS Compliant,,B3U,,,,,,,Tactile,B3U-3000P(M)-B,
$15.00,Amazon ($15),Programmable microcontroller,U$1,ARDUINOMICRO,ARDUINOMICRO,ARDUINOMICRO,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Already have them,Connecting components together,,Breadboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Already have them,Connecting components together,,Jumper wires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
